Name,City,Venue,Quote1,Quote2,Occasion,MatchConfidence,DuplicateFlag,VenueID,FoodboardID,Cuisine,RawVenue,TranscriptFile,match_1,score_1,match_2,score_2,match_3,score_3
Stephen & Damian,Melbourne,Marko's Schnitzel (transcribed as 'Marco Snitzel'),Cool little sandwich place. Middle Eastern flavours.,"12 inch sub, garlic and paprika snitzel. Homos, chillies, salsa, the light.",,corrected,,venue.QVVTLlZJQy4xMDAwMzYxNg==,,Fast Food,Marco Snitzel,AO_Stephen & Damian_V1_IG (1).docx,,,,,,
Stephen & Damian,Melbourne,The Hellenic House Project,"Modern Greek treats, it's unreal.",,,high,,venue.QVVTLlZJQy4xMDAwNzM3OA==,,,The Hellenic House project,AO_Stephen & Damian_V1_IG (1).docx,,,,,,
Stephen & Damian,Melbourne,Shanghai Street,Gabbin' the guys down there. Doing unreal job.,We always find ourselves here for a coffee.,coffee,fuzzy_matched,,,,Thai,132 on Chatham Street,AO_Stephen & Damian_V1_IG (1).docx,Shanghai Street,71,Hungry Jack's Burgers Elizabeth Street,62,Lamb on Brunswick Street,62
Stephen & Damian,Melbourne,Electric Bar,"Inside, outside. You don't want to be anywhere else on a nice sunny day in Melbourne. Electric on a Saturday night.",,,fuzzy_matched,,,,,the SV,AO_Stephen & Damian_V1_IG (1).docx,Electric Bar,72,King of the Roast,72,PICA (Port Melbourne Industrial Centre for the Arts),64
Stephen & Damian,Melbourne,A1 Bakery - Brunswick (transcribed as 'A1 Baker'),The boys know what they're doing at A1.,"Chicken, double crap.",,corrected,,venue.QVVTLlZJQy4xMDAwNjIzMg==,,Middle Eastern,A1 Baker,AO_Stephen & Damian_V1_IG (1).docx,,,,,,
Aaron Trotman,Melbourne,O.MY Restaurant (transcribed as 'Oh my'),"Oh my, in Beaconsfield, by a mile.",Chase and Blaine Burton cello are the best in hospital in the country in my life.,fine dining,corrected,,venue.QVVTLlZJQy4xMDAwMDkzNw==,foodboard.mNJ9RMMzq0xtaiWI6-Kpz,Modern Australian,Oh my,Aaron Trotman.docx,,,,,,
Aaron Trotman,Melbourne,Tom Toon (transcribed as 'Tom's here on Victoria Street'),"Tom's here on Victoria Street. Pork skewers, can't get better.",,casual lunch,corrected,,venue.QVVTLlZJQy4xMDAwNTIzMA==,foodboard.mNJ9RMMzq0xtaiWI6-Kpz,Thai,Tom's here on Victoria Street,Aaron Trotman.docx,,,,,,
Aaron Trotman,Melbourne,Revolver Upstairs (transcribed as 'Revolver'),"An institution, as Melbourne, you have to, you just go.","If you go, you know.",late night,corrected,,venue.QVVTLlZJQy4xMDAwNjYyMg==,foodboard.mNJ9RMMzq0xtaiWI6-Kpz,Thai,Revolver,Aaron Trotman.docx,,,,,,
Aaron Trotman,Melbourne,KFC Bourke Street Melbourne (transcribed as 'Week of wings'),Week of wings. You don't have anything else. Just get some work from me.,,late night,corrected,,venue.QVVTLlZJQy4xMDAwNjk0Nw==,foodboard.mNJ9RMMzq0xtaiWI6-Kpz,Chicken | Fried,Week of wings,Aaron Trotman.docx,,,,,,
Achi Martino,Byron Bay,Bar Heather,"Great wine list. I love the Asian, French, fusion of the food.","A little bit particular and not very common to find. Wine list, top notch.",wine bar,fuzzy_low,,,,,buy other,Achi Martino.docx,Bar Heather,53,Baker and Daughters,52,North Byron Hotel,50
Achi Martino,Byron Bay,WOODS Bangalow,"Just consistent coffee. Since the coffee, I think many were ideas as well and a little bit of a European tweak on it.",It tastes like you're right here in Byron Bay.,coffee,fuzzy_matched,,,,,Bangalore,Achi Martino.docx,WOODS Bangalow,71,Orgasmic Food Byron Bay,58,The Salty Mangrove,53
Achi Martino,Byron Bay,Bay Pizza Lab,"It's all about the dough, as they say. Great dough.","Favorite pizza, I'll say mushy probably.",,fuzzy_low,,,,Pizza | Cocktail,Pizza lot,Achi Martino.docx,Bay Pizza Lab,69,"Ciao, Mate!",42,The Eltham Hotel,40
Achi Martino,Byron Bay,MANGOSTEEN Japanese Dishes & Bar,A Japanese place. That's a very good Japanese offer.,,,fuzzy_low,,,,,Su Kitchen,Achi Martino.docx,MANGOSTEEN Japanese Dishes & Bar,57,Frankies Gelato Naturale,42,Raes on Wategos,39
Achi Martino,Byron Bay,WOODS Bangalow,"Great food, like Australian classic cuisine, mixed with some European taste as well. And guys are very knowledgeable.",Very good time. Good food.,,fuzzy_low,,,,,Bongle,Achi Martino.docx,WOODS Bangalow,54,North Byron Hotel,43,SOU ByronBay,42
Adam D'Sylva,Melbourne,France Soir (transcribed as 'Francois'),"An institution, it's been there for 35 years. You know what you're gonna get.","It's like a warm, well-worn boot. It's made you go there, and it's amazing.",fine dining,corrected,,venue.QVVTLlZJQy4xMDAwNjQ2MQ==,,French,Francois,Adam D_Sylva.docx,,,,,,
Adam D'Sylva,Melbourne,Saluministi Flinders Lane (transcribed as 'saloon ministi'),They do a panini really well. And they do a coffee really well.,"They use a lots of coffee, and it is a one and only.",coffee,corrected,,venue.QVVTLlZJQy4xMDAwNjA4Nw==,,Coffee,saloon ministi,Adam D_Sylva.docx,,,,,,
Adam D'Sylva,Melbourne,"Pacific Seafood BBQ House South Yarra (transcribed as 'Pacific House, Enrichment and Etrach')",An underrated gem would have to be Pacific House.,,,corrected,,venue.QVVTLlZJQy4xMDAwNDg4Ng==,,Cantonese | Chinese,"Pacific House, Enrichment and Etrach",Adam D_Sylva.docx,,,,,,
Adam D'Sylva,Melbourne,Morris House,At the moment is Morris House in the city.,,,high,,venue.QVVTLlZJQy4xMDAwNjAxOQ==,,Modern Australian | American,Morris House,Adam D_Sylva.docx,,,,,,
Adam D'Sylva,Melbourne,TAVOLATA,"It's got the best pizza going around, and it's one of the only places where I eat the crust.",,,high,,venue.QVVTLlZJQy4xMDAwNjczNg==,,,Tavolata,Adam D_Sylva.docx,,,,,,
Adam Lane,Gold Coast,Kost Bar and Grill (transcribed as 'cost'),"It's a elegant dining experience, but it's very approachable as well.",It's new kid on the block as well.,fine dining,corrected,,venue.QVVTLkdDVC4xMDAwMDE2MQ==,foodboard.UIal3_OqzO1dHy9-ook_T,Modern Australian,cost,Adam Lane.docx,,,,,,
Adam Lane,Gold Coast,ELK Espresso (transcribed as 'elk'),"For the experience, I'll go elk.",,coffee,corrected,,venue.QVVTLkdDVC4xMDAwMTE5OQ==,foodboard.UIal3_OqzO1dHy9-ook_T,Coffee | Brunch | Modern Australian,elk,Adam Lane.docx,,,,,,
Adam Lane,Gold Coast,No Name Lane cafe & bar (transcribed as 'no names'),"If I get a takeaway coffee, it's gonna be no names. Broadbeach as well.",,coffee,corrected,,venue.QVVTLkdDVC4xMDAwMTEwNw==,foodboard.UIal3_OqzO1dHy9-ook_T,Coffee | Brunch,no names,Adam Lane.docx,,,,,,
Adam Lane,Gold Coast,Siblings@Kirra (transcribed as 'siblings'),"Iconic spot. It's outdoor dining, you can watch the surf, you can watch everything like that.","It's got a vast array of menu items, and the wine list is amazing.",,corrected,,venue.QVVTLkdDVC4xMDAwMDQ2Nw==,foodboard.UIal3_OqzO1dHy9-ook_T,Modern Australian,siblings,Adam Lane.docx,,,,,,
Adam Lane,Gold Coast,The Gold Coast Lawn Bowls Club,"Bowles Club would be my best, which is the Broadbeach Bowles Club. I can take my little son.",,,fuzzy_matched,,,,,Bowles Club,Adam Lane.docx,The Gold Coast Lawn Bowls Club,76,"HOTA, Home of the Arts",48,The Glenelg Public House,40
Adam Lane,Gold Coast,Social Eating House + Bar (transcribed as 'social dining'),"Menu's always on point, consistent. Josh has just done a new cocktail menu there.","One cocktail to try would be the Clear Skies, the standout.",,corrected,,venue.QVVTLkdDVC4xMDAwMDExOQ==,foodboard.UIal3_OqzO1dHy9-ook_T,Cocktail,social dining,Adam Lane.docx,,,,,,
Adam Liston,Adelaide,Restaurant Botanic,Constantly just changing the menu and really pushing it off.,"Doing his own thing and having to get anything like it, even when I've traveled all over the world.",fine dining,high,,venue.QVVTLkFETC4xMDAwMDQyMg==,foodboard.PuqI22k1aCH3hXgKKbL8N,Modern Australian,Restaurant Botanic,Adam Liston.docx,,,,,,
Adam Liston,Adelaide,Nathaniel's Coffee and Panini (transcribed as 'Nathaniel'),I mainly go there for the Portuguese tarts that he picks up from a little local baker every morning.,A lot of good Portuguese tarts.,coffee,corrected,,venue.QVVTLkFETC4xMDAwMTg2OQ==,foodboard.PuqI22k1aCH3hXgKKbL8N,Coffee,Nathaniel,Adam Liston.docx,,,,,,
Adam Liston,Adelaide,Anchovy Bandit,Arguably Adelaide's best pizza. The snacks are just like really interesting and cool and funky for a place.,Focusing on pizza but also doing kind of weird vibe other stuff. It's cool.,,high,,venue.QVVTLkFETC4xMDAwMTA5OQ==,foodboard.PuqI22k1aCH3hXgKKbL8N,Italian | Pizza,anchovy bandit,Adam Liston.docx,,,,,,
Adam Liston,Adelaide,Good Gilbert,It's a suburban like wine bar. Guys around it are super friendly. Wine list is super interesting.,Nice relaxing time.,wine bar,high,,venue.QVVTLkFETC4xMDAwMTc1Mw==,foodboard.PuqI22k1aCH3hXgKKbL8N,Contemporary Australian,good gilbert,Adam Liston.docx,,,,,,
Adam Liston,Adelaide,Vietnam Village Restaurant (transcribed as 'Vietnam Village'),A kind of mix of Vietnamese and Chinese food which I love.,I go there like once twice a week. That says enough.,,corrected,,venue.QVVTLkFETC4xMDAwMDMxOQ==,foodboard.PuqI22k1aCH3hXgKKbL8N,Vietnamese,Vietnam Village,Adam Liston.docx,,,,,,
Adam McAsey,Bali,La Lucciola (transcribed as 'La Luciola'),It's been around since the early 90s. Regional Italian food. Located on the beach.,One of the only stand-alone restaurants that actually operate face in the ocean.,,corrected,,venue.SU5ELkJBTEkuMTAwMDIzODc=,foodboard.VnYMh82AU4sWU3gTeOH4O,Italian,La Luciola,Adam McAsey.docx,,,,,,
Adam McAsey,Bali,Dulu Coffee,"Relatively new, tight little concepts, well fitted out, beautiful coffee.","Local guys, pour overs on the bench.",coffee,high,,venue.SU5ELkJBTEkuMTAwMDM0MjI=,foodboard.VnYMh82AU4sWU3gTeOH4O,,Dulu Coffee,Adam McAsey.docx,,,,,,
Adam McAsey,Bali,BARO Pizzeria (transcribed as 'Barrow pizzeria'),"His pizzas, wood-fired, crushed as nice and chewy. The toppings are the best produce, less is more.","Emerson's in New York, he's an ex-tartine baker.",,corrected,,venue.SU5ELkJBTEkuMTAwMDMzODI=,foodboard.VnYMh82AU4sWU3gTeOH4O,,Barrow pizzeria,Adam McAsey.docx,,,,,,
Adam McAsey,Bali,Potato Head Beach Club (transcribed as 'Potato head'),"Deep appreciation for Indonesian culture and craftsmanship. They fly the flag for sustainability, creativity.",Their art installations are amazing. They're constantly pushing the boundaries.,,corrected,,venue.SU5ELkJBTEkuMTAwMDMzMjI=,foodboard.VnYMh82AU4sWU3gTeOH4O,Cocktail,Potato head,Adam McAsey.docx,,,,,,
Adam McAsey,Bali,Warung Babi Genyol Arta Nadi (transcribed as 'Aa tan nadi'),"They serve babi gignon, not babi guling, like most people know.",Beautiful crispy crackling. It's my all-time warung spot.,,corrected,,venue.SU5ELkJBTEkuMTAwMDM0NDU=,foodboard.VnYMh82AU4sWU3gTeOH4O,,Aa tan nadi,Adam McAsey.docx,,,,,,
Adetokunboh Adeniyi,Sydney,The Italian Bowl (transcribed as 'Italian bowl'),"Hands down, best Italian food, can't not get better.",RBS to pasta with penne and prawns. Get the extra large dishes well because you're gonna need more.,,corrected,,venue.QVVTLk5TVy4xMDAwMTcxOA==,foodboard.dXNlci5vWXRFYm9KMVU0U3pXVU9IRjlJM3huU3h1WjAz,Italian | Vegan | Vegetarian,Italian bowl,Adetokunboh Adeniyi.docx,,,,,,
Adetokunboh Adeniyi,Sydney,Zio Pino Pizzeria (transcribed as 'Zio Pinot'),"I get the vegetarian pizza and I add chicken on top, don't judge.","It's always amazing, gets better every time I go.",,corrected,,venue.QVVTLk5TVy4xMDAwNjA1MQ==,foodboard.dXNlci5vWXRFYm9KMVU0U3pXVU9IRjlJM3huU3h1WjAz,Pizza | Italian,Zio Pinot,Adetokunboh Adeniyi.docx,,,,,,
Adetokunboh Adeniyi,Sydney,Kabul House (transcribed as 'Cabo House in Maryland'),Best African food I've ever had in my life. I've lived in Dubai and a lot of countries.,On the main street so you can't miss it.,,corrected,,venue.QVVTLk5TVy4xMDAwMTg5Ng==,foodboard.dXNlci5vWXRFYm9KMVU0U3pXVU9IRjlJM3huU3h1WjAz,Afghan,Cabo House in Maryland,Adetokunboh Adeniyi.docx,,,,,,
Adetokunboh Adeniyi,Sydney,Earl's Juke Joint (transcribed as 'El Stuke Joints'),"Walking in feels like home for me. The art on the wall is amazing, it's New Orleans themed, looks like a jazz bar.",King Street in Newtown. You feel like you're in New Orleans.,,corrected,,venue.QVVTLk5TVy4xMDAwNjQ4Nw==,foodboard.dXNlci5vWXRFYm9KMVU0U3pXVU9IRjlJM3huU3h1WjAz,,El Stuke Joints,Adetokunboh Adeniyi.docx,,,,,,
Adrian Richardson,Melbourne,Bamboo House (transcribed as 'a bamboo house'),"That is the way you get authentic Chinese. If you get a whole lobster, they'll cook it for you.","Peking duck, they'll carve it, put it into pancake. They make so many beautiful dishes, I love the place.",,corrected,,venue.QVVTLlZJQy4xMDAwMDA3MA==,,Chinese | Cantonese,a bamboo house,Adrian Richardson.docx,,,,,,
Adrian Richardson,Melbourne,Mitte Cafe (transcribed as 'Mita'),"Right across the road from me. Ask for George, so Richard sent you.",He'll make a Melbourne magic with two sugars.,coffee,corrected,,venue.QVVTLlZJQy4xMDAwNTE4Mg==,,,Mita,Adrian Richardson.docx,,,,,,
Adrian Richardson,Melbourne,Great Northern Hotel (transcribed as 'Great Northern'),"They've got a big flat-screen TV, it's a sports bar, I go there with my sons.","Ice cold beers, great sporty beers. A fight on or something, that's the place to go.",,corrected,,venue.QVVTLlZJQy4xMDAwNTkxNA==,,Australian,Great Northern,Adrian Richardson.docx,,,,,,
Adrian Richardson,Melbourne,Good Days Brunswick (transcribed as 'good times'),"The Vietnamese, small kitchen, small menu, but they bang on every time, really consistent.","I have the Wagyu pho, it's fantastic.",,corrected,,venue.QVVTLlZJQy4xMDAwNDQyMA==,,Vietnamese,good times,Adrian Richardson.docx,,,,,,
Adrian Richardson,Melbourne,Joanne's Pizzeria (transcribed as 'Joanne's pizza'),"You can get it by the slice, just the way they do it in North America.","They even make my favourite, which have four different types of meat on it. I love it.",,corrected,,venue.QVVTLlZJQy4xMDAwNjg1Nw==,,Pizza,Joanne's pizza,Adrian Richardson.docx,,,,,,
Agung Rai,Bali,SKOOL Kitchen (transcribed as 'School kitchen in Changyu'),It's an open-fire grilled restaurant specialized in meats.,Better get there during sunset to get the best views in town.,,corrected,,venue.SU5ELkJBTEkuMTAwMDMzMTY=,foodboard.2riHq7lRWs33ImP2QhfJi,,School kitchen in Changyu,Agung Rai.docx,,,,,,
Agung Rai,Bali,Revolver Seminyak (transcribed as 'Revolver'),"For more than 10 years, it's been the best in town for the coffee.",They're the pioneers of coffee in town. They still hold that title till this day.,coffee,corrected,,venue.SU5ELkJBTEkuMTAwMDIzOTc=,foodboard.2riHq7lRWs33ImP2QhfJi,,Revolver,Agung Rai.docx,,,,,,
Agung Rai,Bali,Barbacoa (transcribed as 'Babakoa'),An Argentinian meat grill restaurant in Semenyak. I don't go there enough. That's how good it is.,Nearly became the best restaurant in Bali.,,corrected,,venue.SU5ELkJBTEkuMTAwMDI2MjM=,foodboard.2riHq7lRWs33ImP2QhfJi,Latin American,Babakoa,Agung Rai.docx,,,,,,
Agung Rai,Bali,Potato Head Beach Club (transcribed as 'Potato head'),"Sustainably, hospitality-wise, food, drinks, design, top to bottom. If I want to benchmark something, potato head would be it.",,,corrected,,venue.SU5ELkJBTEkuMTAwMDMzMjI=,foodboard.2riHq7lRWs33ImP2QhfJi,Cocktail,Potato head,Agung Rai.docx,,,,,,
Agung Rai,Bali,"Warung Babi Guling Sari Dewi Bp. Dobil (transcribed as 'Pakdobil, Babigolin in Nusadua')","Like a suckling pig, little eatery. They have the whole pig there and they pick parts of the meat, skin.","For me, it's the best local food you can get.",,corrected,,venue.SU5ELkJBTEkuMTAwMDE2ODM=,foodboard.2riHq7lRWs33ImP2QhfJi,,"Pakdobil, Babigolin in Nusadua",Agung Rai.docx,,,,,,
Aki Yaguchi,Melbourne,Akimbo Bread (transcribed as 'a kimbo'),Crazy line on the weekend. You have to check how long the line is to see if it's worth it.,"It's a huge part of the community. They're so friendly. Every time you come in, the food is always banging.",,corrected,,venue.k9F0QGQ0rlkMUzTSg98pg,foodboard.g76YAtauXHjoxL72rENDw,Coffee | Brunch,a kimbo,Aki Yaguchi_V4.docx,,,,,,
Aki Yaguchi,Melbourne,Marion Wine Bar (transcribed as 'Marion'),I love Marion. Sitting outside. They do beautiful steak there.,It's just like the energy as people walk past.,,corrected,,venue.QVVTLlZJQy4xMDAwNTQzNA==,foodboard.g76YAtauXHjoxL72rENDw,Modern Australian | European,Marion,Aki Yaguchi_V4.docx,,,,,,
Aki Yaguchi,Melbourne,Masses Bagels (transcribed as 'Masters bagels'),Masses bagels. It's my favourite.,,coffee,corrected,,venue.QVVTLlZJQy4xMDAwNzQ2NQ==,foodboard.g76YAtauXHjoxL72rENDw,Bagel,Masters bagels,Aki Yaguchi_V4.docx,,,,,,
Aki Yaguchi,Melbourne,Sardinas (transcribed as 'Sadina'),I come here with my partner if we feel like being out somewhere. We don't want to go too crazy.,I love how you can sit outside. There's some people watching.,,corrected,,venue.QVVTLlZJQy4xMDAwNjQ5NQ==,foodboard.g76YAtauXHjoxL72rENDw,Cocktail | Brunch,Sadina,Aki Yaguchi_V4.docx,,,,,,
Aki Yaguchi,Melbourne,La Pinta (transcribed as 'La Quinta'),"Being able to watch the chef's book, it's a really immersive experience.","Everything is a knockout. The crab and the drinks. Honestly, this is some of the best food.",,corrected,,venue.QVVTLlZJQy4xMDAwMzc2Nw==,foodboard.g76YAtauXHjoxL72rENDw,Spanish,La Quinta,Aki Yaguchi_V4.docx,,,,,,
Al Robertson,Hobart,Ogee,"It's Matt and Rochelle, and it's a magical room.","Once you eat Matt's food and you get served by Rochelle, it'll make sense.",,fuzzy_low,,,,,OG,Al Robertson_IG.docx,Ogee,51,Groundsman Espresso,36,Omotenashi Hobart,36
Al Robertson,Hobart,Rosie in My Midnight Dreams,"My friend Laurel runs that, and she always offers me a Bloody Mary.",Here's your coffee. Here's some ice water. Do you want a Bloody Mary and a Compe toastie?,coffee,fuzzy_matched,,,,,Rosie in my midnight dreams,Al Robertson_IG.docx,Rosie in My Midnight Dreams,89,Mary Mary,77,Rough Rice,43
Al Robertson,Hobart,New Sydney Hotel,"Classic Irish pub, cold frosty bogs, the best Guinness in town, really good pub food.",Somewhere where you can just sit and relax and hang out with everyone in the street.,,fuzzy_matched,,,,,The new Sydney,Al Robertson_IG.docx,New Sydney Hotel,73,Somewhere Coffee Bar,61,The Winston,53
Al Robertson,Hobart,Ja & Jon Banh Mi,Vietnamese takeaway place in Elizabeth Mall. The best Vietnamese takeaway in Australia.,Roast pork is char siu pork. They bake their own bread. Good value. Bun mi and pho for 15 bucks.,,fuzzy_low,,,,,Jaren John,Al Robertson_IG.docx,Ja & Jon Banh Mi,56,The Winston,51,Bear With Me,44
Al Robertson,Hobart,Trophy Room,"James and Rose, I used to work with, opened this little room and they do breakfast, lunch and dinner.","It's only been open six months or so, and it is so special. It's really amazing.",,fuzzy_matched,,,,,Trophy room,Al Robertson_IG.docx,Trophy Room,91,Groundsman Espresso,38,Tom McHugo's Hobart Hotel,38
Alan Stuart,Sydney,Saint Peter at The Grand National Hotel (transcribed as 'St. Peter'),"The three kings of fish there, Joe, Josh, and Kieran.",St. Peter's done for fish what Bouley did for modern gastronomy.,fine dining,corrected,,venue.QVVTLk5TVy4xMDAwNjY4Mg==,foodboard.6XC87i2u-jVl7GGGFNvTe,Seafood,St. Peter,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Olympus Dining (transcribed as 'Olympus'),"The room is absolutely zen. The food is delicious, the staff are great.",,fine dining,corrected,,venue.QVVTLk5TVy4xMDAwNjc5NA==,foodboard.6XC87i2u-jVl7GGGFNvTe,Greek,Olympus,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Bennelong (transcribed as 'Benoit'),"If you're going somewhere for an anniversary, a birthday, or just first time coming to Sydney, you're never gonna forget dining at Bennelong.",,date night,corrected,,venue.QVVTLk5TVy4xMDAwNDE3NQ==,foodboard.6XC87i2u-jVl7GGGFNvTe,Australian,Benoit,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Pochito (transcribed as 'Peanut and Potts Point'),"It's full, it's busy. I get well looked after when I go.","What's your little go-to chili eggs? Exactly, that's a go-to.",coffee,corrected,,venue.QVVTLk5TVy4xMDAwMzg4Mg==,,Chilean,Peanut and Potts Point,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Maybe Sammy (transcribed as 'the maybe semi-group'),Everything they do turns to gold. They're always doing really cool collaborations.,"They're going overseas, they're also bringing a lot of bars over here.",,corrected,,venue.QVVTLk5TVy4xMDAwNjQ1Mw==,foodboard.6XC87i2u-jVl7GGGFNvTe,Cocktail | Modern Australian | Continental | Cheese | Tapas,the maybe semi-group,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Amuro (transcribed as 'Amarillo'),"Little Japanese restaurant. I have a great cyclist, and it feels like you're back in Japan when you dine there.",,,corrected,,venue.QVVTLk5TVy4xMDAwNjk3MA==,foodboard.6XC87i2u-jVl7GGGFNvTe,Japanese | Sake,Amarillo,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Bar Sumi,One of the disciples of the Maybe Sammy group. It's a cool little speakeasy.,"They don't have a menu, drinks through conversation. I really enjoy it there.",,high,,venue.QVVTLk5TVy4xMDAwNjk3MQ==,foodboard.6XC87i2u-jVl7GGGFNvTe,Cocktail,Bar Sumi,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Malay Chinese Noodle Bar (transcribed as 'Myla Chinese noodle bar'),"It's been around since 1987. It's delicious, the laksa is down there as being.",,casual lunch,corrected,,venue.QVVTLk5TVy4xMDAwNDMxOQ==,foodboard.6XC87i2u-jVl7GGGFNvTe,Malaysian,Myla Chinese noodle bar,Alan Stuart_V3.docx,,,,,,
Alan Stuart,Sydney,Joji Sydney (transcribed as 'Joji'),Rooftop terrace in the middle of CBD. The food's done by Paul. It's delicious. DJ Dex survived.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjgwNQ==,foodboard.6XC87i2u-jVl7GGGFNvTe,Cocktail,Joji,Alan Stuart_V3.docx,,,,,,
Alasdair Craigie,Perth,Hakata Gensuke Ramen (transcribed as 'cart againstuke ramen'),They're just on point every time. It's your Tonkotsu style ramen. It's really good.,,casual lunch,corrected,,venue.QVVTLlBFUi4xMDAwMjMyMg==,foodboard.M0LxDUv3Yaj_0TLRpxEUY,Japanese,cart againstuke ramen,Alasdair Craigie.docx,,,,,,
Alasdair Craigie,Perth,Tammy's Bakery & Patisserie (transcribed as 'tammies'),"They're bakery just down the road, they actually make our buns for the restaurant.","My boy Vin is always there making it, and just doesn't the same every time.",coffee,corrected,,venue.QVVTLlBFUi4xMDAwMjM1MA==,foodboard.M0LxDUv3Yaj_0TLRpxEUY,Coffee,tammies,Alasdair Craigie.docx,,,,,,
Alasdair Craigie,Perth,Fremantle Markets,"We'll go down to Fremantle, and we'll go for a walk to the markets.",Just grab food from different places around the market.,,high,,venue.QVVTLlBFUi4xMDAwMjUzMg==,foodboard.M0LxDUv3Yaj_0TLRpxEUY,,Fremantle markets,Alasdair Craigie.docx,,,,,,
Alejandro Huerta,Sydney,The Waratah,Simply the best experience I've ever had. The way they treat the Japanese ingredients.,"They create Japanese food that is not necessarily traditional. The exact experience, all the knowledge, all the love they put into it.",fine dining,fuzzy_low,,,,,Utah,Alejandro Huerta_IG_V3.docx,The Waratah,65,The DOG,58,The Rover,57
